id,common_name,scientific_name,cycle,watering,sunlight
276,Russian Olive,Elaeagnus angustifolia,Perennial,Average,Full sun
277,Japanese Blueberry Tree,Elaeocarpus decipiens,Perennial,Average,"full sun, part shade"
278,Loquat,Eriobotrya japonica,Perennial,Minimum,"full sun, part sun/part shade"
279,Spindle Tree,Euonymus europaeus,Perennial,Average,"Filtered shade,  Full sun,  Part sun/part shade"
280,Dawyck Gold Beech,Fagus sylvatica 'Dawyck Gold',Perennial,Average,full sun
281,Dawyck Purple Beech,Fagus sylvatica 'Dawyck Purple',Perennial,Average,Full sun
282,Pyramidal Beech,Fagus sylvatica 'Fastigiata',Perennial,Average,Full sun
283,Weeping Beech,Fagus sylvatica 'Pendula',Perennial,Average,full sun
284,Purple Fountain Beech,Fagus sylvatica 'Purple Fountain',Perennial,Average,full sun
285,Purple Beech,Fagus sylvatica 'Purpurea',Perennial,Average,Full sun
286,Weeping Purple Beech,Fagus sylvatica 'Purpurea Pendula',Perennial,Average,full sun
287,Red Obelisk Beech,Fagus sylvatica 'Red Obelisk',Perennial,Frequent,full sun
288,Common Fig,Ficus carica,Perennial,Minimum,"full sun, part sun/part shade"
289,Kadota Fig,Ficus carica 'Kadota',Perennial,Average,full sun
290,Mission Fig,Ficus carica 'Mission',Perennial,Average,"full sun, part shade"
291,Peter's Honey Fig,Ficus carica 'Peter's Honey',Perennial,Average,full sun
292,Franklin Tree,Franklinia alatamaha,Perennial,Average,"full sun, part shade"
293,Fallgold Black Ash,Fraxinus nigra 'Fallgold',Perennial,Average,"full sun, part sun/part shade"
294,Leprechaun Green Ash,Fraxinus pennsylvanica 'Leprechaun',Perennial,Average,full sun
295,Patmore Green Ash,Fraxinus pennsylvanica 'Patmore',Perennial,Average,full sun
296,Ginkgo,Ginkgo biloba,Perennial,Average,Full sun
297,Autumn Gold Ginkgo,Ginkgo biloba 'Autumn Gold',Perennial,Average,full sun
298,Magyar Ginkgo,Ginkgo biloba 'Magyar',Perennial,Average,Full sun
299,Princeton Sentry Ginkgo,Ginkgo biloba 'Princeton Sentry',Perennial,Average,full sun
300,Saratoga Ginkgo,Ginkgo biloba 'Saratoga',Perennial,Frequent,full sun
301,Sunburst Honeylocust,Gleditsia triacanthos 'Suncole',Perennial,Average,Full sun
302,Sea Buckthorn,Hippophae rhamnoides,Perennial,Frequent,full sun
303,Tree Form Pee Gee Hydrangea,Hydrangea paniculata 'Grandiflora (tree form)',Perennial,Average,"full sun, part sun/part shade"
304,Limelight Hydrangea (tree form),Hydrangea paniculata 'Limelight (tree form)',Perennial,Frequent,"filtered shade, full sun"
305,Pink Diamond Hydrangea (tree form),Hydrangea paniculata 'Pink Diamond (tree form)',Perennial,Average,"full sun, part sun/part shade"
306,Tardiva Hydrangea (tree form),Hydrangea paniculata 'Tardiva (tree form)',Perennial,Average,"Filtered shade,  Full sun"
307,Carpathian English Walnut,Juglans regia 'Carpathian',Perennial,Frequent,full sun
308,Blue Chip Juniper (tree form),Juniperus horizontalis 'Blue Chip (tree form)',Perennial,Minimum,"full sun, part sun/part shade"
309,Dwarf Japanese garden Juniper (tree form),Juniperus procumbens 'Nana (tree form)',Perennial,Average,"full sun, part sun/part shade"
310,Rocky Mountain Juniper,Juniperus scopulorum,Perennial,Average,Full sun
311,Blue Star Juniper,Juniperus squamata 'Blue Star (tree form)',Perennial,Average,"full sun, part sun/part shade"
312,Daub's Frosted Juniper (tree form),Juniperus x media 'Daub's Frosted (tree form)',Perennial,Frequent,"full sun, part shade"
313,Golden Rain Tree,Koelreuteria paniculata,Perennial,Average,Full sun
314,Coral Sun Golden Rain Tree,Koelreuteria paniculata 'Coral Sun',Perennial,Average,full sun
315,Weeping Laburnum,Laburnum x watereri 'Pendulum',Perennial,Average,"full sun, part shade"
316,Vossii Laburnum,Laburnum x watereri 'Vossii',Perennial,Frequent,"full sun, part shade"
317,Near East Crapemyrtle,Lagerstroemia indica 'Near East',Perennial,Frequent,full sun
318,Bay Laurel,Laurus nobilis,Perennial,Minimum,"full sun, part sun/part shade"
319,Sweet Gum,Liquidambar styraciflua,Perennial,Average,full sun
320,Round Leaf Sweet Gum,Liquidambar styraciflua 'Rotundiloba',Perennial,Average,full sun
321,Silver King Sweet Gum,Liquidambar styraciflua 'Silver King',Perennial,Average,full sun
322,Slender Silhouette Sweet Gum,Liquidambar styraciflua 'Slender Silhouette',Perennial,Average,full sun
323,Worplesdon Sweet Gum,Liquidambar styraciflua 'Worplesdon',Perennial,Minimum,full sun
324,Tuliptree,Liriodendron tulipifera,Perennial,Average,Full sun
325,Arnold Tuliptree,Liriodendron tulipifera 'Arnold',Perennial,Average,Full sun
326,Yellow Variegated Tuliptree,Liriodendron tulipifera 'Aureomarginatum',Perennial,Minimum,full sun
327,Fastigiatum Tuliptree,Liriodendron tulipifera 'Fastigiatum',Perennial,Frequent,full sun
328,Butterflies Magnolia,Magnolia 'Butterflies',Perennial,Average,"Full sun, part shade"
329,Daybreak Magnolia,Magnolia 'Daybreak',Perennial,Average,"full sun, part shade"
330,Elizabeth Magnolia,Magnolia 'Elizabeth',Perennial,Average,"full sun, part shade"
331,Gold Star Magnolia,Magnolia 'Gold Star',Perennial,Average,full sun
332,Golden Gift Magnolia,Magnolia 'Golden Gift',Perennial,Average,"full sun, part shade"
333,Marilyn Magnolia,Magnolia 'Marilyn',Perennial,Average,"full sun, part shade"
334,Rose Marie Magnolia,Magnolia 'Rose Marie',Perennial,Minimum,"full sun, part shade"
335,Star Wars Magnolia,Magnolia 'Star Wars',Perennial,Frequent,full sun
336,Sunburst Magnolia,Magnolia 'Sunburst',Perennial,Average,full sun
337,Yellow Bird Magnolia,Magnolia 'Yellow Bird',Perennial,Average,"full sun, part shade"
338,Yulan Magnolia,Magnolia denudata,Perennial,Average,"full sun, part shade"
339,Southern Magnolia,Magnolia grandiflora,Perennial,Average,"Full sun, part shade"
340,Bracken's Brown Beauty Magnolia,Magnolia grandiflora 'Bracken's Brown Beauty',Perennial,Average,"full sun, part shade"
341,D.D. Blanchard Magnolia,Magnolia grandiflora 'D.D. Blanchard',Perennial,Average,"Full sun, part shade"
342,Little Gem Magnolia,Magnolia grandiflora 'Little Gem',Perennial,Average,"Full sun, part shade"
343,Teddy Bear® Magnolia,Magnolia grandiflora 'Southern Charm',Perennial,Average,"full sun, part shade"
344,Kobus Magnolia,Magnolia kobus,Perennial,Average,"full sun, part sun/part shade"
345,Wada's Memory Magnolia,Magnolia kobus 'Wada's Memory',Perennial,Frequent,"full sun, part sun/part shade"
346,Oyama Magnolia,Magnolia sieboldii,Perennial,Average,full sun
347,Leonard Messel Magnolia,Magnolia x loebneri 'Leonard Messel',Perennial,Average,Full sun
348,Merrill Magnolia,Magnolia x loebneri 'Merrill',Perennial,Frequent,full sun
349,Alexandrina Saucer Magnolia,Magnolia x soulangeana 'Alexandrina',Perennial,Average,"full sun, part sun/part shade"
350,Rustica Rubra Magnolia,Magnolia x soulangeana 'Rustica Rubra',Perennial,Average,"full sun, part sun/part shade"
351,Akane Apple,Malus 'Akane',Perennial,Frequent,full sun
352,Ambrosia Apple,Malus 'Ambrosia',Perennial,Average,full sun
353,Belle de Boskoop Apple,Malus 'Belle de Boskoop',Perennial,Frequent,full sun
354,Braeburn Apple,Malus 'Braeburn',Perennial,Frequent,"full sun, filtered shade"
355,Candied Apple Flowering Crab,Malus 'Candied Apple',Perennial,Average,"full sun, part shade"
356,Chehalis Apple,Malus 'Chehalis',Perennial,Average,full sun
357,Cortland Apple,Malus 'Cortland',Perennial,Frequent,full sun
358,Cox's Orange Pippin Apple,Malus 'Cox's Orange Pippin',Perennial,Frequent,full sun
359,Dolgo Apple,Malus 'Dolgo',Perennial,Average,full sun
360,Donald Wyman Flowering Crab,Malus 'Donald Wyman',Perennial,Average,full sun
361,Elstar Apple,Malus 'Elstar',Perennial,Average,full sun
362,Gala Apple,Malus 'Gala',Perennial,Frequent,full sun
363,Golden Delicious Apple,Malus 'Golden Delicious',Perennial,Frequent,"full sun, part shade"
364,Golden Russet Apple,Malus 'Golden Russet',Perennial,Frequent,full sun
365,Granny Smith Apple,Malus 'Granny Smith',Perennial,Frequent,full sun
366,Gravenstein Apple,Malus 'Gravenstein',Perennial,Average,"full sun, part sun/part shade"
367,Honeycrisp Apple,Malus 'Honeycrisp',Perennial,Frequent,full sun
368,Jonagold Apple,Malus 'Jonagold',Perennial,Average,full sun
369,Jonathan Apple,Malus 'Jonathan',Perennial,Frequent,"full sun, part shade"
370,Liberty Apple,Malus 'Liberty',Perennial,Frequent,"full sun, part shade"
371,Lodi Apple,Malus 'Lodi',Perennial,Frequent,full sun
372,Louisa Flowering Crab,Malus 'Louisa',Perennial,Average,full sun
373,Macintosh Apple,Malus 'Macintosh',Perennial,Frequent,"full sun, part shade"
374,Melrose Apple,Malus 'Melrose',Perennial,Average,full sun
375,Norland Apple,Malus 'Norland',Perennial,Frequent,full sun
376,Pink Lady Apple,Malus 'Pink Lady',Perennial,Frequent,full sun
377,Prairifire Flowering Crab,Malus 'Prairifire',Perennial,Average,full sun
378,Red Delicious Apple,Malus 'Red Delicious',Perennial,Frequent,"full sun, part shade"
379,Red Jewel Flowering Crab,Malus 'Red Jewel',Perennial,Average,"full sun, part shade"
380,Scarlet Pippin Apple,Malus 'Scarlet Pippin',Perennial,Frequent,full sun
381,Sentinel Flowering Crab,Malus 'Sentinel',Perennial,Average,full sun
382,Snowdrift Flowering Crab,Malus 'Snowdrift',Perennial,Average,full sun
383,Spartan Apple,Malus 'Spartan',Perennial,Average,full sun
384,Summerland Apple,Malus 'Summerland',Perennial,Frequent,full sun
385,Wealthy Apple,Malus 'Wealthy',Perennial,Average,"full sun, part sun/part shade"
386,Yellow Transparent Apple,Malus 'Yellow Transparent',Perennial,Average,full sun
387,Zestar Apple,Malus 'Zestar',Perennial,Frequent,full sun
388,Dawn Redwood,Metasequoia glyptostroboides,Perennial,Average,full sun
389,Gold Rush Dawn Redwood,Metasequoia glyptostroboides 'Gold Rush',Perennial,Frequent,full sun
390,Black Gum,Nyssa sylvatica,Perennial,Average,"full sun, part sun/part shade, sheltered"
391,Arbequina European Olive,Olea europaea 'Arbequina',Perennial,Average,full sun
392,Sourwood,Oxydendron arboreum,Perennial,Average,"full sun, part shade"
393,Persian Parrotia,Parrotia persica,Perennial,Average,full sun
394,Royal Empress Tree,Paulownia tomentosa,Perennial,Average,"full sun, part sun/part shade, sheltered"
395,Norway Spruce,Picea abies,Perennial,Average,"Full sun,  Part sun/part shade"
396,Golden Norway Spruce,Picea abies 'Aurea',Perennial,Average,full sun
397,Columnar Norway Spruce,Picea abies 'Cupressina',Perennial,Frequent,full sun
398,Chinese abelia,Abelia chinensis,Perennial,Average,"full sun, part shade"
399,abelia,Abelia 'Edward Goucher',Perennial,Average,"full sun, part shade"
400,glossy abelia,Abelia grandiflora,Perennial,Average,"full sun, part shade"
401,glossy abelia,Abelia grandiflora 'Hopleys' MISS LEMON,Perennial,Average,"Full sun, part shade"
402,glossy abelia,Abelia grandiflora 'Kaleidoscope',Perennial,Average,"full sun, part shade"
403,glossy abelia,Abelia grandiflora 'MINDUO1' SUNNY ANNIVERSARY,Perennial,Average,"full sun, part shade"
404,glossy abelia,Abelia grandiflora 'Minipan' GOLDEN ANNIVERSARY,Perennial,Average,"full sun, part shade"
405,glossy abelia,Abelia grandiflora 'Panache' SILVER ANNIVERSARY,Perennial,Average,"full sun, part shade"
406,glossy abelia,Abelia grandiflora 'Sherwoodii',Perennial,Average,"full sun, part shade"
407,fragrant abelia,Abelia mosanensis 'SMNAMDS' SWEET EMOTION,Perennial,Average,"full sun, part shade"
408,abelia,Abelia 'Rose Creek',Perennial,Average,"full sun, part shade"
409,white forsythia,Abeliophyllum distichum,Perennial,Average,full sun
410,okra,Abelmoschus esculentus,Annual,Frequent,full sun
411,okra,Abelmoschus esculentus 'Baby Bubba',Annual,Average,Full sun
412,sunset huskmallow,Abelmoschus manihot,Herbaceous Perennial,Average,Full sun
413,musk mallow,Abelmoschus moschatus,Herbaceous Perennial,Average,full sun
414,balsam fir,Abies balsamea,Perennial,Average,full sun
415,balsam fir,Abies balsamea 'Jamy',Perennial,Average,"full sun, part sun/part shade"
416,balsam fir,Abies balsamea 'Nana',Perennial,Average,"part sun/part shade, full sun"
417,momi fir,Abies firma,Perennial,Average,"Full sun, part shade"
418,grand fir,Abies grandis,Perennial,Average,full sun
419,Nikko fir,Abies homolepis,Perennial,Average,full sun
420,Korean fir,Abies koreana 'Silberlocke',Perennial,Average,"full sun, part shade"
421,Caucasian fir,Abies nordmanniana,Perennial,Average,"full sun, part shade"
422,Caucasian fir,Abies nordmanniana 'Brandt',Perennial,Average,"full sun, part shade"
423,Caucasian fir,Abies nordmanniana subsp. equi-trojani,Perennial,Average,"full sun, part shade"
424,Spanish fir,Abies pinsapo 'Horstmann',Perennial,Average,full sun
425,flowering-maple,Abutilon hybridum,Perennial,Frequent,"full sun, part shade"
426,flowering-maple,Abutilon hybridum 'Bella Red',Perennial,Average,"full sun, part shade"
427,flowering-maple,Abutilon 'Moonchimes',Perennial,Average,"full sun, part shade"
428,flowering-maple,Abutilon pictum 'Gold Dust',Perennial,Average,full sun
429,river wattle,Acacia cognata 'Mini Cog',Perennial,Average,"full sun, part shade"
430,koa,Acacia koa,Perennial,Average,full sun
431,black cat claw,Acacia redolens,Perennial,Average,full sun
432,acaena,Acaena inermis 'Purpurea',Herbaceous Perennial,Average,full sun
433,red hot cat's tail,Acalypha hispida,Perennial,Average,"full sun, part shade"
434,Jacob's coat,Acalypha wilkesiana,Perennial,Frequent,"full sun, part shade"
435,prickly thrift,Acantholimon ulicinum,Perennial,Average,full sun
436,bear's breeches,Acanthus hungaricus,Herbaceous Perennial,Average,"full sun, part shade"
437,bear's breeches,Acanthus mollis,Herbaceous Perennial,Average,"full sun, part shade"
438,bear's breeches,Acanthus mollis 'Oak Leaf',Herbaceous Perennial,Average,"part sun/part shade, full sun"
439,bear's breeches,Acanthus mollis 'Tasmanian Angel',Herbaceous Perennial,Minimum,"full sun, part shade"
440,mountain thistle,Acanthus montanus,Herbaceous Perennial,Average,"full sun, part shade"
441,bear's breeches,Acanthus spinosus,Herbaceous Perennial,Average,"full sun, part shade"
442,bear's breeches,Acanthus 'Summer Beauty',Herbaceous Perennial,Average,"full sun, part shade"
443,pineapple guava,Acca sellowiana,Perennial,Minimum,"full sun, part shade"
444,trident maple,Acer buergerianum,Perennial,Average,"full sun, part shade"
445,hedge maple,Acer campestre,Perennial,Average,"full sun, part shade"
446,hedge maple,Acer campestre 'Evelyn' QUEEN ELIZABETH,Perennial,Frequent,"full sun, part shade"
447,hedge maple,Acer campestre 'Postelense',Perennial,Average,"full sun, part shade"
448,snakebark maple,Acer capillipes,Perennial,Average,"full sun, part shade"
449,cappadocian maple,Acer cappadocicum,Perennial,Frequent,"full sun, part shade"
450,hornbeam maple,Acer carpinifolium,Perennial,Frequent,"full sun, part shade"
451,ivy-leaved maple,Acer cissifolium,Perennial,Average,"full sun, part shade"
452,snakebark maple,Acer conspicuum 'Phoenix',Perennial,Frequent,"full sun, part sun/part shade"
453,Freeman maple,Acer freemanii 'Marmo',Perennial,Average,full sun
454,Freeman maple,Acer freemanii 'Scarsen' SCARLET SENTINEL,Perennial,Average,full sun
455,full moon maple,Acer japonicum 'O-isami',Perennial,Minimum,"full sun, part shade"
456,Montpellier maple,Acer monspessulanum,Perennial,Average,"full sun, part shade"
457,Japanese maple,Acer palmatum 'Germaine's Gyration',Perennial,Average,"full sun, part shade"
458,Japanese maple,Acer palmatum 'Shishio Improved',Perennial,Average,"full sun, part shade"
459,Japanese maple,Acer palmatum var. dissectum 'Inaba-shidare',Perennial,Average,"full sun, part shade"
460,red maple,Acer rubrum 'Brandywine',Perennial,Average,"full sun, part shade"
461,red maple,Acer rubrum 'Columnare',Perennial,Average,"full sun, part shade"
462,red maple,Acer rubrum 'Franksred' RED SUNSET,Perennial,Average,"full sun, part shade"
463,red maple,Acer rubrum 'Karpick',Perennial,Average,"full sun, part shade"
464,red maple,Acer rubrum 'Northwood',Perennial,Average,"full sun, part shade"
465,red maple,Acer rubrum 'October Glory',Perennial,Average,"full sun, part shade"
466,silver maple,Acer saccharinum 'Silver Queen',Perennial,Average,"full sun, part sun/part shade"
467,bigtooth maple,Acer saccharum subsp. grandidentatum,Perennial,Frequent,"full sun, part sun/part shade"
468,sugar maple,Acer saccharum 'Sweet Shadow',Perennial,Frequent,full sun
469,Amur maple,Acer tataricum subsp. ginnala 'Mandy' RED RHAPSODY,Perennial,Average,"full sun, part shade"
470,shantung maple,Acer truncatum,Perennial,Average,"full sun, part shade"
471,yarrow,Achillea 'Anblo' ANTHEA,Herbaceous Perennial,Average,full sun
472,yarrow,Achillea 'Apfelblute' APPLEBLOSSOM,Herbaceous Perennial,Minimum,full sun
473,Alps yarrow,Achillea distans,Herbaceous Perennial,Average,"full sun, part shade"
474,fern-leaf yarrow,Achillea filipendulina,Herbaceous Perennial,Minimum,Full sun
475,fern-leaf yarrow,Achillea filipendulina 'Altgold',Herbaceous Perennial,Average,full sun
476,fern-leaf yarrow,Achillea filipendulina 'Gold Coin Dwarf',Herbaceous Perennial,Frequent,full sun
477,fern-leaf yarrow,Achillea filipendulina 'Gold Plate',Herbaceous Perennial,Frequent,full sun
478,fern-leaf yarrow,Achillea filipendulina 'Parker's Variety',Herbaceous Perennial,Average,full sun
479,yarrow,Achillea millefolium,Herbaceous Perennial,Average,full sun
480,yarrow,Achillea millefolium 'little moonshine',Herbaceous Perennial,Average,full sun
481,yarrow,Achillea millefolium 'Desyel' DESERT EVE YELLOW,Herbaceous Perennial,Average,full sun
482,yarrow,Achillea millefolium f. rosea,Herbaceous Perennial,Average,full sun
483,yarrow,Achillea millefolium 'Montrose Rose',Herbaceous Perennial,Average,full sun
484,yarrow,Achillea millefolium 'Paprika',Herbaceous Perennial,Average,full sun
485,yarrow,Achillea millefolium 'Peachy Seduction',Herbaceous Perennial,Average,"full sun, part sun/part shade"
